beta  ances 
0.229 0.298
0.224 0.294
0.223 0.293
0.218 0.296
0.219 0.293
0.219 0.295
0.220 0.297
0.223 0.296
0.224 0.296
0.222 0.296
0.222 0.295
0.220 0.297
0.222 0.297
0.222 0.297
0.221 0.298
0.221 0.297
0.221 0.297
0.220 0.298
0.221 0.298
0.221 0.298
0.220 0.298
0.220 0.297
0.220 0.297
0.221 0.297
0.221 0.297
0.221 0.297
0.221 0.296
0.221 0.296
0.220 0.296
0.220 0.296
0.220 0.296
0.220 0.296
0.220 0.296
0.220 0.296
0.220 0.296
0.220 0.296
0.219 0.296
0.220 0.296
0.220 0.296
0.219 0.296
0.219 0.296
0.219 0.296
0.219 0.296
0.220 0.296
0.219 0.296
0.219 0.296
0.219 0.296
0.219 0.296
0.219 0.296
