Ind	decimalLongitude	decimalLatitude
JmAjJ01	-98.754111	20.207917
JmAjJ04	-98.754111	20.207917
JmAjJ05	-98.754111	20.207917
JmAjJ06	-98.754111	20.207917
JmAjJ21	-98.754111	20.207917
JmAjJ23	-98.754111	20.207917
JmAjJ24	-98.754111	20.207917
JmCiJ08	-98.754111	20.207917
JmCiJ09	-97.149448	19.492067
JmCiJ10	-97.149448	19.492067
JmCiJ11	-97.149448	19.492067
JmCiJ12	-97.149448	19.492067
JmCiJ13	-97.149448	19.492067
JmCiJ14	-97.294806	19.006306
JmCiJ15	-97.294806	19.006306
JmCiJ16	-97.294806	19.006306
JmCiJ17	-97.294806	19.006306
JmIzJ01	-97.294806	19.006306
JmIzJ02	-97.294806	19.006306
JmIzJ04	-97.294806	19.006306
JmIzJ05	-97.294806	19.006306
JmIzJ13	-97.294806	19.006306
JmIzJ14	-97.294806	19.006306
JmIzJ15	-97.310833	18.982667
JmIzJ16	-97.310833	18.982667
JmMaJ02	-97.310833	18.982667
JmMaJ03	-97.310833	18.982667
JmMaJ04	-97.310833	18.982667
JmMaJ05	-97.310833	18.982667
JmMaJ19	-97.310833	18.982667
JmMaJ20	-97.310833	18.982667
JmMaJ21	-97.310833	18.982667
JmMaJ22	-97.310833	18.982667
JmMaJ23	-98.034417	19.24075
JmPpJ01	-98.034417	19.24075
JmPpJ03	-98.034417	19.24075
JmPpJ04	-98.034417	19.24075
JmPpJ09	-98.034417	19.24075
JmPpJ10	-98.034417	19.24075
JmPpJ11	-98.034417	19.24075
JmPpJ16	-98.034417	19.24075
JmPpJ17	-98.034417	19.24075
JmTlJ01	-98.711306	19.411583
JmTlJ02	-98.711306	19.411583
JmTlJ03	-98.711306	19.411583
JmTlJ04	-98.711306	19.411583
JmTlJ05	-98.711306	19.411583
JmTlJ16	-98.711306	19.411583
JmTlJ17	-98.711306	19.411583
JmTlJ18	-98.711306	19.411583
JmTlJ19	-98.711306	19.411583
JmTlJ20	-98.711306	19.411583
JmToJ01	-98.642611	19.140889
JmToJ02	-98.642611	19.140889
JmToJ06	-98.642611	19.140889
JmToJ07	-98.642611	19.140889
JmToJ09	-98.642611	19.140889
JmToJ10	-98.642611	19.140889
JmToJ11	-98.642611	19.140889
JmToJ12	-98.642611	19.140889
JmChJ01	-98.6365	19.050333
JmChJ02	-98.6365	19.050333
JmChJ03	-98.6365	19.050333
JmChJ04	-98.6365	19.050333
JmChJ05	-98.6365	19.050333
JmChJ11	-98.6365	19.050333
JmChJ12	-98.6365	19.050333
JmChJ13	-98.6365	19.050333
JmPeJ05	-99.256944	19.212944
JmPeJ19	-99.256944	19.212944
JmPeJ20	-99.256944	19.212944
JmPeJ21	-99.256944	19.212944
JmPeJ22	-99.256944	19.212944
JmNeJ01	-99.256944	19.212944
JmNeJ02	-99.256944	19.212944
JmNeJ03	-103.616444	19.571528
JmNeJ04	-103.616444	19.571528
JmNeJ05	-103.616444	19.571528
JmNeJ17	-103.616444	19.571528
JmNeJ18	-103.616444	19.571528
JmNeJ19	-103.616444	19.571528
JmNeJ20	-103.616444	19.571528
JmNeJ21	-103.616444	19.571528
JmBlJ01	-100.236444	19.569861
JmBlJ03	-100.236444	19.569861
JmBlJ04	-100.236444	19.569861
JmBlJ05	-100.236444	19.569861
JmBlJ14	-100.236444	19.569861
JmBlJ15	-100.236444	19.569861
JmBlJ16	-100.236444	19.569861
JmBlJ17	-100.236444	19.569861
JmBlJ18	-100.236444	19.569861
